Track,Artist,Tag,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Ram Pam Pam,NATTI NATASHA,Gianluca,0.909,0.785,5,-3.648,0,0.0637,0.248,3.55e-06,0.228,0.903,96.984,audio_features,730gfBUwEpyruhbSvDuytR,spotify:track:730gfBUwEpyruhbSvDuytR,https://api.spotify.com/v1/tracks/730gfBUwEpyruhbSvDuytR,https://api.spotify.com/v1/audio-analysis/730gfBUwEpyruhbSvDuytR,200707,4
Curazao,El Alfa,Gianluca,0.854,0.943,11,-4.876,0,0.0846,0.11,1.41e-05,0.0528,0.53,129.256,audio_features,2gMau9LsRZtWOrq5cBGywB,spotify:track:2gMau9LsRZtWOrq5cBGywB,https://api.spotify.com/v1/tracks/2gMau9LsRZtWOrq5cBGywB,https://api.spotify.com/v1/audio-analysis/2gMau9LsRZtWOrq5cBGywB,239578,4
Bad,Blaiz Fayah,Gianluca,0.783,0.748,2,-4.118,1,0.188,0.00451,4.62e-05,0.135,0.799,99.16,audio_features,2WrxGpnCvpwiQkcHDDmVXc,spotify:track:2WrxGpnCvpwiQkcHDDmVXc,https://api.spotify.com/v1/tracks/2WrxGpnCvpwiQkcHDDmVXc,https://api.spotify.com/v1/audio-analysis/2WrxGpnCvpwiQkcHDDmVXc,150303,4
Trakatá,Ptazeta,Gianluca,0.906,0.626,5,-5.533,1,0.254,0.127,6.56e-06,0.0546,0.561,93.03,audio_features,5fghgRsc8a3pSDXtjQ238F,spotify:track:5fghgRsc8a3pSDXtjQ238F,https://api.spotify.com/v1/tracks/5fghgRsc8a3pSDXtjQ238F,https://api.spotify.com/v1/audio-analysis/5fghgRsc8a3pSDXtjQ238F,178064,4
PROBLEMA,Daddy Yankee,Gianluca,0.773,0.8,10,-3.17,0,0.0987,0.0613,0.00403,0.0327,0.842,89.988,audio_features,2dl5K2ScW7jYhAhuem06cm,spotify:track:2dl5K2ScW7jYhAhuem06cm,https://api.spotify.com/v1/tracks/2dl5K2ScW7jYhAhuem06cm,https://api.spotify.com/v1/audio-analysis/2dl5K2ScW7jYhAhuem06cm,184507,4
Perra,J Balvin,Gianluca,0.906,0.952,8,-1.766,1,0.311,0.0785,0.000268,0.358,0.747,97.967,audio_features,04JVwAItboGpDhDgC4fNta,spotify:track:04JVwAItboGpDhDgC4fNta,https://api.spotify.com/v1/tracks/04JVwAItboGpDhDgC4fNta,https://api.spotify.com/v1/audio-analysis/04JVwAItboGpDhDgC4fNta,157920,4
X.O.X.O. (feat. Rvfv & Chiki El De La Vaina) - Remix,D' La Crem,Gianluca,0.49,0.794,1,-3.1,0,0.252,0.401,0.00374,0.0709,0.639,199.338,audio_features,4FaoCozE0HEbIZwCp5XHcV,spotify:track:4FaoCozE0HEbIZwCp5XHcV,https://api.spotify.com/v1/tracks/4FaoCozE0HEbIZwCp5XHcV,https://api.spotify.com/v1/audio-analysis/4FaoCozE0HEbIZwCp5XHcV,234500,4
PAM,Justin Quiles,Gianluca,0.889,0.863,11,-3.011,1,0.0757,0.289,0.000603,0.0798,0.776,112.953,audio_features,0eeKDrQxjqNl5bX5VCHDcn,spotify:track:0eeKDrQxjqNl5bX5VCHDcn,https://api.spotify.com/v1/tracks/0eeKDrQxjqNl5bX5VCHDcn,https://api.spotify.com/v1/audio-analysis/0eeKDrQxjqNl5bX5VCHDcn,201000,4
FRIKI,Feid,Gianluca,0.818,0.88,6,-2.411,0,0.0577,0.0237,0,0.0777,0.686,94.985,audio_features,3No3zHVwKadKDR00kZdmAB,spotify:track:3No3zHVwKadKDR00kZdmAB,https://api.spotify.com/v1/tracks/3No3zHVwKadKDR00kZdmAB,https://api.spotify.com/v1/audio-analysis/3No3zHVwKadKDR00kZdmAB,144987,4
Ella - Remix,Boza,Gianluca,0.747,0.812,3,-4.274,0,0.111,0.341,0.000131,0.174,0.884,180.062,audio_features,7iHHlCbsFou5DZSW5HCPfs,spotify:track:7iHHlCbsFou5DZSW5HCPfs,https://api.spotify.com/v1/tracks/7iHHlCbsFou5DZSW5HCPfs,https://api.spotify.com/v1/audio-analysis/7iHHlCbsFou5DZSW5HCPfs,330478,4
Yonaguni,Bad Bunny,Gianluca,0.644,0.648,1,-4.601,1,0.118,0.276,0,0.135,0.44,179.951,audio_features,2JPLbjOn0wPCngEot2STUS,spotify:track:2JPLbjOn0wPCngEot2STUS,https://api.spotify.com/v1/tracks/2JPLbjOn0wPCngEot2STUS,https://api.spotify.com/v1/audio-analysis/2JPLbjOn0wPCngEot2STUS,206710,4
X (feat. Maluma & Ozuna) - Remix,Nicky Jam,Gianluca,0.663,0.696,9,-4.957,0,0.103,0.0561,3.77e-05,0.0778,0.738,180.113,audio_features,6JjPBQfI2Y8nIjnm65X6Pw,spotify:track:6JjPBQfI2Y8nIjnm65X6Pw,https://api.spotify.com/v1/tracks/6JjPBQfI2Y8nIjnm65X6Pw,https://api.spotify.com/v1/audio-analysis/6JjPBQfI2Y8nIjnm65X6Pw,235747,4
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,Gianluca,0.842,0.801,8,-4.167,0,0.228,0.157,4.82e-06,0.0642,0.617,95.881,audio_features,4w8niZpiMy6qz1mntFA5uM,spotify:track:4w8niZpiMy6qz1mntFA5uM,https://api.spotify.com/v1/tracks/4w8niZpiMy6qz1mntFA5uM,https://api.spotify.com/v1/audio-analysis/4w8niZpiMy6qz1mntFA5uM,212500,4
Limbo,Daddy Yankee,Gianluca,0.806,0.875,7,-3.817,1,0.088,0.0838,0.00192,0.065,0.917,125.063,audio_features,3pDhN3qB33AOPhQEkUCaWt,spotify:track:3pDhN3qB33AOPhQEkUCaWt,https://api.spotify.com/v1/tracks/3pDhN3qB33AOPhQEkUCaWt,https://api.spotify.com/v1/audio-analysis/3pDhN3qB33AOPhQEkUCaWt,224693,4
Reggaetón Lento (Bailemos),CNCO,Gianluca,0.761,0.838,4,-3.073,0,0.0502,0.4,0,0.176,0.71,93.974,audio_features,3AEZUABDXNtecAOSC1qTfo,spotify:track:3AEZUABDXNtecAOSC1qTfo,https://api.spotify.com/v1/tracks/3AEZUABDXNtecAOSC1qTfo,https://api.spotify.com/v1/audio-analysis/3AEZUABDXNtecAOSC1qTfo,222560,4
El Amante,Nicky Jam,Gianluca,0.683,0.691,8,-5.535,1,0.0432,0.243,0,0.14,0.732,179.91,audio_features,3umS4y3uQDkqekNjVpiRUs,spotify:track:3umS4y3uQDkqekNjVpiRUs,https://api.spotify.com/v1/tracks/3umS4y3uQDkqekNjVpiRUs,https://api.spotify.com/v1/audio-analysis/3umS4y3uQDkqekNjVpiRUs,219507,4
Bum Bum Tam Tam,MC Fioti,Gianluca,0.896,0.675,1,-3.908,1,0.124,0.346,8.11e-06,0.262,0.659,131.999,audio_features,6k2900NjJeVqZM55G3Danu,spotify:track:6k2900NjJeVqZM55G3Danu,https://api.spotify.com/v1/tracks/6k2900NjJeVqZM55G3Danu,https://api.spotify.com/v1/audio-analysis/6k2900NjJeVqZM55G3Danu,213989,4
Machika,J Balvin,Gianluca,0.618,0.836,9,-3.362,1,0.379,0.0474,0,0.172,0.54,212.058,audio_features,4vKltMFviBKMdhYu3FDLY0,spotify:track:4vKltMFviBKMdhYu3FDLY0,https://api.spotify.com/v1/tracks/4vKltMFviBKMdhYu3FDLY0,https://api.spotify.com/v1/audio-analysis/4vKltMFviBKMdhYu3FDLY0,181733,4
Soltera,Lunay,Gianluca,0.779,0.731,5,-4.324,1,0.0399,0.445,0,0.252,0.847,91.991,audio_features,4T4CZ3Q4z3GG7lU720YYhM,spotify:track:4T4CZ3Q4z3GG7lU720YYhM,https://api.spotify.com/v1/tracks/4T4CZ3Q4z3GG7lU720YYhM,https://api.spotify.com/v1/audio-analysis/4T4CZ3Q4z3GG7lU720YYhM,213913,4
Rebota,Guaynaa,Gianluca,0.796,0.911,1,-1.998,1,0.285,0.188,0,0.499,0.918,180.128,audio_features,2YRvdf9cdS88y1wB1WhKoE,spotify:track:2YRvdf9cdS88y1wB1WhKoE,https://api.spotify.com/v1/tracks/2YRvdf9cdS88y1wB1WhKoE,https://api.spotify.com/v1/audio-analysis/2YRvdf9cdS88y1wB1WhKoE,204631,4
