Track,Artist,Tag,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Stille Musik: 3. Augenblicke der Serenade,Valentin Silvestrov,Laura,0.16,0.00726,0,-39.362,1,0.0436,0.971,0.952,0.139,0.0336,86.12,audio_features,308fmwi0Y8ULBSzthdhooI,spotify:track:308fmwi0Y8ULBSzthdhooI,https://api.spotify.com/v1/tracks/308fmwi0Y8ULBSzthdhooI,https://api.spotify.com/v1/audio-analysis/308fmwi0Y8ULBSzthdhooI,137413,5
A Little Book of Hours: VI. Singing Sun,Peter Sculthorpe,Laura,0.346,0.00398,10,-44.526,1,0.0537,0.992,0.878,0.0643,0.318,78.891,audio_features,06vaPTVwFkFxCzmJDXlfx5,spotify:track:06vaPTVwFkFxCzmJDXlfx5,https://api.spotify.com/v1/tracks/06vaPTVwFkFxCzmJDXlfx5,https://api.spotify.com/v1/audio-analysis/06vaPTVwFkFxCzmJDXlfx5,103600,5
Wasserklavier,David Arden,Laura,0.32,0.00157,10,-43.77,0,0.0715,0.985,0.0465,0.05,0.109,78.685,audio_features,3LRYwBJECFeQGi16cPxEZY,spotify:track:3LRYwBJECFeQGi16cPxEZY,https://api.spotify.com/v1/tracks/3LRYwBJECFeQGi16cPxEZY,https://api.spotify.com/v1/audio-analysis/3LRYwBJECFeQGi16cPxEZY,122840,4
II. floating leaf,Konstantia Gourzi,Laura,0.248,0.00832,5,-38.205,0,0.0485,0.995,0.923,0.0669,0.239,175.256,audio_features,1HE6aHCUtC6Mx0kiOsRUIS,spotify:track:1HE6aHCUtC6Mx0kiOsRUIS,https://api.spotify.com/v1/tracks/1HE6aHCUtC6Mx0kiOsRUIS,https://api.spotify.com/v1/audio-analysis/1HE6aHCUtC6Mx0kiOsRUIS,137520,3
"Poulenc: Cello Sonata, FP 143: II. Cavatine",Francis Poulenc,Laura,0.13,0.00924,6,-27.853,1,0.0448,0.988,0.909,0.0849,0.0369,77.307,audio_features,6tmzIxHREnZzKSDMm6CNNS,spotify:track:6tmzIxHREnZzKSDMm6CNNS,https://api.spotify.com/v1/tracks/6tmzIxHREnZzKSDMm6CNNS,https://api.spotify.com/v1/audio-analysis/6tmzIxHREnZzKSDMm6CNNS,386507,4
"Ave verum corpus, K.618 (Arr. for Piano by Franz Liszt)",Wolfgang Amadeus Mozart,Laura,0.435,0.00354,11,-39.482,1,0.0485,0.986,0.909,0.096,0.179,68.542,audio_features,3DYxUyNeBa9MbT867F9gMO,spotify:track:3DYxUyNeBa9MbT867F9gMO,https://api.spotify.com/v1/tracks/3DYxUyNeBa9MbT867F9gMO,https://api.spotify.com/v1/audio-analysis/3DYxUyNeBa9MbT867F9gMO,195000,4
Five Pieces For Violin And Piano: I. Elegia (Andante Larghetto),Valentin Silvestrov,Laura,0.0694,0.00525,3,-35.45,1,0.0482,0.972,0.00751,0.0739,0.036,73.566,audio_features,1d1FNmfO3dFlH8873yNFX3,spotify:track:1d1FNmfO3dFlH8873yNFX3,https://api.spotify.com/v1/tracks/1d1FNmfO3dFlH8873yNFX3,https://api.spotify.com/v1/audio-analysis/1d1FNmfO3dFlH8873yNFX3,179360,4
An Idea,Leo Brouwer,Laura,0.294,0.00785,4,-29.64,0,0.0667,0.994,0.956,0.0929,0.173,70.958,audio_features,1PINN6x0Riouab3wPSglpp,spotify:track:1PINN6x0Riouab3wPSglpp,https://api.spotify.com/v1/tracks/1PINN6x0Riouab3wPSglpp,https://api.spotify.com/v1/audio-analysis/1PINN6x0Riouab3wPSglpp,158520,3
"The Hours: An Unwelcome Friend (From ""The Hours"")",Philip Glass,Laura,0.253,0.00429,7,-36.172,0,0.0523,0.99,0.912,0.103,0.0368,74.497,audio_features,2GnYCy70I8cR4oEA2wsSDx,spotify:track:2GnYCy70I8cR4oEA2wsSDx,https://api.spotify.com/v1/tracks/2GnYCy70I8cR4oEA2wsSDx,https://api.spotify.com/v1/audio-analysis/2GnYCy70I8cR4oEA2wsSDx,256147,3
"Sechs Klavierstücke, Op. 118: II. Intermezzo in A Major",Johannes Brahms,Laura,0.299,0.00626,9,-30.923,1,0.0478,0.994,0.901,0.0823,0.0634,69.043,audio_features,1Oo7XEqkrwifJn17aA0ocF,spotify:track:1Oo7XEqkrwifJn17aA0ocF,https://api.spotify.com/v1/tracks/1Oo7XEqkrwifJn17aA0ocF,https://api.spotify.com/v1/audio-analysis/1Oo7XEqkrwifJn17aA0ocF,378733,4
Still,Ola Gjeilo,Laura,0.398,0.00209,0,-39.959,1,0.0444,0.996,0.955,0.0813,0.0971,71.461,audio_features,6B0ZlLf0p2s1Lwt3ivAXKy,spotify:track:6B0ZlLf0p2s1Lwt3ivAXKy,https://api.spotify.com/v1/tracks/6B0ZlLf0p2s1Lwt3ivAXKy,https://api.spotify.com/v1/audio-analysis/6B0ZlLf0p2s1Lwt3ivAXKy,142333,4
"Carnaval, Op. 9: No. 5. Eusebius (Adagio - Più lento molto teneramente)",Robert Schumann,Laura,0.391,0.00316,10,-36.233,1,0.0382,0.995,0.925,0.068,0.143,69.792,audio_features,73kFkK74uTO8fy8yBfMrTk,spotify:track:73kFkK74uTO8fy8yBfMrTk,https://api.spotify.com/v1/tracks/73kFkK74uTO8fy8yBfMrTk,https://api.spotify.com/v1/audio-analysis/73kFkK74uTO8fy8yBfMrTk,139760,3
"12 Songs, Op. 21: V. Lilacs (Transcr. Rachmaninoff for Solo Piano)",Sergei Rachmaninoff,Laura,0.168,0.00571,8,-36.245,1,0.0404,0.995,0.92,0.068,0.0705,78.043,audio_features,06emSBtL6jcUXcjVlayUHl,spotify:track:06emSBtL6jcUXcjVlayUHl,https://api.spotify.com/v1/tracks/06emSBtL6jcUXcjVlayUHl,https://api.spotify.com/v1/audio-analysis/06emSBtL6jcUXcjVlayUHl,181693,3
Walk With Us - For Black Lives Matter,Alexis Ffrench,Laura,0.299,0.0264,9,-26.535,0,0.0469,0.995,0.882,0.073,0.235,168.963,audio_features,6XmozAAnvBf2VtLL53AkX0,spotify:track:6XmozAAnvBf2VtLL53AkX0,https://api.spotify.com/v1/tracks/6XmozAAnvBf2VtLL53AkX0,https://api.spotify.com/v1/audio-analysis/6XmozAAnvBf2VtLL53AkX0,120457,5
"Prelude in B minor, BWV 855a (Arr. by Alexander Siloti)",Johann Sebastian Bach,Laura,0.182,0.0377,11,-33.748,0,0.0391,0.987,0.957,0.0804,0.0923,100.482,audio_features,18JxYMTSFKZlxqdNFrOs1r,spotify:track:18JxYMTSFKZlxqdNFrOs1r,https://api.spotify.com/v1/tracks/18JxYMTSFKZlxqdNFrOs1r,https://api.spotify.com/v1/audio-analysis/18JxYMTSFKZlxqdNFrOs1r,241804,4
Infinity,Rosey Chan,Laura,0.358,0.00554,3,-29.617,1,0.0479,0.992,0.894,0.176,0.0587,67.103,audio_features,2FR3mH7DwsaX3TcObkUEX3,spotify:track:2FR3mH7DwsaX3TcObkUEX3,https://api.spotify.com/v1/tracks/2FR3mH7DwsaX3TcObkUEX3,https://api.spotify.com/v1/audio-analysis/2FR3mH7DwsaX3TcObkUEX3,448000,3
"6 Encores for Piano (1965): No. 3, Wasserklavier",Luciano Berio,Laura,0.255,0.00172,1,-47.903,1,0.0582,0.961,0.355,0.0681,0.17,75.399,audio_features,0RnF44RV45by9HTtZuttgl,spotify:track:0RnF44RV45by9HTtZuttgl,https://api.spotify.com/v1/tracks/0RnF44RV45by9HTtZuttgl,https://api.spotify.com/v1/audio-analysis/0RnF44RV45by9HTtZuttgl,139653,4
"Goldberg Variations, BWV 988: Variation 1 (Arr. for Harp)",Johann Sebastian Bach,Laura,0.354,0.116,4,-28.692,0,0.0399,0.987,0.883,0.124,0.181,82.627,audio_features,36EnMgx9PmtnzUtmKwI63h,spotify:track:36EnMgx9PmtnzUtmKwI63h,https://api.spotify.com/v1/tracks/36EnMgx9PmtnzUtmKwI63h,https://api.spotify.com/v1/audio-analysis/36EnMgx9PmtnzUtmKwI63h,116960,4
"Morgen, Op. 27 No. 4 (Arr. Reger for Piano)",Richard Strauss,Laura,0.289,0.00164,7,-37.003,1,0.0535,0.994,0.956,0.0825,0.258,66.823,audio_features,1YHB1xwXPgCkuGjQ0prNdb,spotify:track:1YHB1xwXPgCkuGjQ0prNdb,https://api.spotify.com/v1/tracks/1YHB1xwXPgCkuGjQ0prNdb,https://api.spotify.com/v1/audio-analysis/1YHB1xwXPgCkuGjQ0prNdb,232526,3
Winter,Ola Gjeilo,Laura,0.314,0.00545,0,-33.332,1,0.0597,0.994,0.945,0.0894,0.444,138.554,audio_features,6k5iJy3uIEhaqZu9MCGCiq,spotify:track:6k5iJy3uIEhaqZu9MCGCiq,https://api.spotify.com/v1/tracks/6k5iJy3uIEhaqZu9MCGCiq,https://api.spotify.com/v1/audio-analysis/6k5iJy3uIEhaqZu9MCGCiq,188907,4
Memories of a Promenade II,Olga Scheps,Laura,0.215,0.0282,0,-28.351,0,0.0353,0.991,0.877,0.107,0.167,74.408,audio_features,4bFdyisLdkeS7tmbAWpl13,spotify:track:4bFdyisLdkeS7tmbAWpl13,https://api.spotify.com/v1/tracks/4bFdyisLdkeS7tmbAWpl13,https://api.spotify.com/v1/audio-analysis/4bFdyisLdkeS7tmbAWpl13,206163,4
"Abendlied, Op. 85 No. 12 (Arr. Grosvenor)",Robert Schumann,Laura,0.47,0.00188,1,-32.773,1,0.0494,0.992,0.867,0.115,0.0863,67.573,audio_features,0nJzrxHup9vkQyc9Eg698s,spotify:track:0nJzrxHup9vkQyc9Eg698s,https://api.spotify.com/v1/tracks/0nJzrxHup9vkQyc9Eg698s,https://api.spotify.com/v1/audio-analysis/0nJzrxHup9vkQyc9Eg698s,207047,3
El cant dels ocells (Song of the Birds) (version for cello and orchestra),Pablo Casals,Laura,0.16,0.0261,9,-33.263,0,0.0517,0.917,0.232,0.113,0.0305,88.549,audio_features,5k4Eagqnz3YKdMLjSSi0DD,spotify:track:5k4Eagqnz3YKdMLjSSi0DD,https://api.spotify.com/v1/tracks/5k4Eagqnz3YKdMLjSSi0DD,https://api.spotify.com/v1/audio-analysis/5k4Eagqnz3YKdMLjSSi0DD,229413,4
3 Pieces in Old Style: No. 1. Aria,Krzysztof Penderecki,Laura,0.153,0.0398,7,-31.174,0,0.0432,0.867,0.965,0.114,0.0373,85.367,audio_features,2cnCYr5QgPJG0OJqYY4DGF,spotify:track:2cnCYr5QgPJG0OJqYY4DGF,https://api.spotify.com/v1/tracks/2cnCYr5QgPJG0OJqYY4DGF,https://api.spotify.com/v1/audio-analysis/2cnCYr5QgPJG0OJqYY4DGF,133160,4
My fellow creatures,Carlos Cipa,Laura,0.321,0.00611,4,-38.341,0,0.0362,0.995,0.908,0.09,0.0693,104.311,audio_features,1YcABWwgkfrOSw8VMgDWZU,spotify:track:1YcABWwgkfrOSw8VMgDWZU,https://api.spotify.com/v1/tracks/1YcABWwgkfrOSw8VMgDWZU,https://api.spotify.com/v1/audio-analysis/1YcABWwgkfrOSw8VMgDWZU,205493,4
"Goldberg Variations, BWV 988: Aria",Johann Sebastian Bach,Laura,0.454,0.0139,4,-29.966,0,0.0514,0.995,0.943,0.0736,0.244,130.253,audio_features,5bu9A6uphPWg39RC3ZKeku,spotify:track:5bu9A6uphPWg39RC3ZKeku,https://api.spotify.com/v1/tracks/5bu9A6uphPWg39RC3ZKeku,https://api.spotify.com/v1/audio-analysis/5bu9A6uphPWg39RC3ZKeku,184853,4
"Concerto en ré mineur, BWV 974: II. Adagio",Johann Sebastian Bach,Laura,0.354,0.0322,2,-27.492,0,0.0435,0.992,0.955,0.104,0.0638,67.872,audio_features,3CkbfNMYISwMGg2guJtTe4,spotify:track:3CkbfNMYISwMGg2guJtTe4,https://api.spotify.com/v1/tracks/3CkbfNMYISwMGg2guJtTe4,https://api.spotify.com/v1/audio-analysis/3CkbfNMYISwMGg2guJtTe4,253413,4
"Cello Sonata in G Minor, Op. 65: III. Largo",Frédéric Chopin,Laura,0.124,0.0103,10,-31.768,1,0.04,0.983,0.85,0.0988,0.08,84.374,audio_features,3zrcDZ9hPNkZuq20pxPb9o,spotify:track:3zrcDZ9hPNkZuq20pxPb9o,https://api.spotify.com/v1/tracks/3zrcDZ9hPNkZuq20pxPb9o,https://api.spotify.com/v1/audio-analysis/3zrcDZ9hPNkZuq20pxPb9o,204520,3
Avril 14th (Aphex Twin) - Vanessa Wagner Version,Murcof,Laura,0.395,0.0826,5,-18.982,0,0.0432,0.995,0.93,0.126,0.119,93.288,audio_features,5KIOfWtUEKrxDNi4OnIpg2,spotify:track:5KIOfWtUEKrxDNi4OnIpg2,https://api.spotify.com/v1/tracks/5KIOfWtUEKrxDNi4OnIpg2,https://api.spotify.com/v1/audio-analysis/5KIOfWtUEKrxDNi4OnIpg2,165021,4
"Schumann: 12 Gedichte aus Liebesfrühling, Op. 37: No. 11: Warum willst du andre fragen",Clara Schumann,Laura,0.238,0.00484,8,-31.76,1,0.0393,0.995,0.95,0.121,0.0394,70.821,audio_features,1NechTDnTtSaciAT6gmvJQ,spotify:track:1NechTDnTtSaciAT6gmvJQ,https://api.spotify.com/v1/tracks/1NechTDnTtSaciAT6gmvJQ,https://api.spotify.com/v1/audio-analysis/1NechTDnTtSaciAT6gmvJQ,129920,3
Passage,Joep Beving,Laura,0.459,0.0073,7,-29.42,1,0.0366,0.992,0.96,0.149,0.109,60.19,audio_features,4HMf8DnYWNpEbjgvQJFWl6,spotify:track:4HMf8DnYWNpEbjgvQJFWl6,https://api.spotify.com/v1/tracks/4HMf8DnYWNpEbjgvQJFWl6,https://api.spotify.com/v1/audio-analysis/4HMf8DnYWNpEbjgvQJFWl6,312373,3
La Vierge / Scene 4: The Assumption: Le dernier sommeil de la Vièrge (The Last Sleep of the Virgin),Jules Massenet,Laura,0.162,0.0888,7,-26.139,1,0.0358,0.866,0.378,0.115,0.0391,81.612,audio_features,0BGJjuvUKA1UqlfADE6Lyx,spotify:track:0BGJjuvUKA1UqlfADE6Lyx,https://api.spotify.com/v1/tracks/0BGJjuvUKA1UqlfADE6Lyx,https://api.spotify.com/v1/audio-analysis/0BGJjuvUKA1UqlfADE6Lyx,302467,4
"Ravel: Pavane pour une infante défunte, M. 19",Maurice Ravel,Laura,0.491,0.0176,4,-26.911,0,0.0644,0.994,0.927,0.0985,0.0901,125.793,audio_features,3MRQn2RYo2VLYMoStnLRxu,spotify:track:3MRQn2RYo2VLYMoStnLRxu,https://api.spotify.com/v1/tracks/3MRQn2RYo2VLYMoStnLRxu,https://api.spotify.com/v1/audio-analysis/3MRQn2RYo2VLYMoStnLRxu,346587,3
Ave María (Arr. Víkingur Ólafsson) - Upright Piano,Sigvaldi Kaldalóns,Laura,0.33,0.00357,3,-33.142,1,0.0339,0.995,0.953,0.0989,0.121,100.741,audio_features,6MzbO6YS0M6tjwT93hjAl0,spotify:track:6MzbO6YS0M6tjwT93hjAl0,https://api.spotify.com/v1/tracks/6MzbO6YS0M6tjwT93hjAl0,https://api.spotify.com/v1/audio-analysis/6MzbO6YS0M6tjwT93hjAl0,216213,3
Through The Blue - Piano Version,Roger Eno,Laura,0.441,0.00957,7,-26.839,1,0.0308,0.987,0.884,0.0954,0.373,75.403,audio_features,5gbZe9oyXXQDMLXFGsR4YC,spotify:track:5gbZe9oyXXQDMLXFGsR4YC,https://api.spotify.com/v1/tracks/5gbZe9oyXXQDMLXFGsR4YC,https://api.spotify.com/v1/audio-analysis/5gbZe9oyXXQDMLXFGsR4YC,225495,4
"Violin Concerto No. 3 in G Major, K. 216: II. Adagio",Wolfgang Amadeus Mozart,Laura,0.175,0.0427,2,-23.115,1,0.0528,0.972,0.0329,0.118,0.133,179.031,audio_features,38r9HRnlPMb5j5ZR6X5dux,spotify:track:38r9HRnlPMb5j5ZR6X5dux,https://api.spotify.com/v1/tracks/38r9HRnlPMb5j5ZR6X5dux,https://api.spotify.com/v1/audio-analysis/38r9HRnlPMb5j5ZR6X5dux,459920,3
"Montero: Adagio (After Bach's Violin Concerto No. 2, BWV 1042)",Johann Sebastian Bach,Laura,0.36,0.00301,6,-35.441,0,0.0444,0.994,0.897,0.0557,0.18,72.892,audio_features,1v3gGmcneK1QzYyBFiBXG0,spotify:track:1v3gGmcneK1QzYyBFiBXG0,https://api.spotify.com/v1/tracks/1v3gGmcneK1QzYyBFiBXG0,https://api.spotify.com/v1/audio-analysis/1v3gGmcneK1QzYyBFiBXG0,301400,4
much loved,Rachel Portman,Laura,0.152,0.0195,4,-24.946,1,0.0395,0.99,0.944,0.0676,0.0906,143.978,audio_features,6DV5mwk2kZw6GiDR2XUsjP,spotify:track:6DV5mwk2kZw6GiDR2XUsjP,https://api.spotify.com/v1/tracks/6DV5mwk2kZw6GiDR2XUsjP,https://api.spotify.com/v1/audio-analysis/6DV5mwk2kZw6GiDR2XUsjP,262413,3
"Jesu, Joy of Man's Desiring - Arr. by Alexis Ffrench",Alexis Ffrench,Laura,0.366,0.143,7,-23.078,1,0.0497,0.995,0.946,0.137,0.318,94.229,audio_features,75pxraYiRRhRn68Kwk4sT3,spotify:track:75pxraYiRRhRn68Kwk4sT3,https://api.spotify.com/v1/tracks/75pxraYiRRhRn68Kwk4sT3,https://api.spotify.com/v1/audio-analysis/75pxraYiRRhRn68Kwk4sT3,128242,4
Lily’s Lullaby,RIOPY,Laura,0.497,0.00781,0,-24.079,1,0.063,0.994,0.963,0.147,0.101,74.096,audio_features,3oXl4DnBBGeGhXjHmSSMpU,spotify:track:3oXl4DnBBGeGhXjHmSSMpU,https://api.spotify.com/v1/tracks/3oXl4DnBBGeGhXjHmSSMpU,https://api.spotify.com/v1/audio-analysis/3oXl4DnBBGeGhXjHmSSMpU,239867,4
Seven Days Walking / Day 1: Ascent,Ludovico Einaudi,Laura,0.23,0.0592,7,-23.594,1,0.0445,0.989,0.941,0.0906,0.103,89.965,audio_features,4NqknSuLbtn77F73YzNVBf,spotify:track:4NqknSuLbtn77F73YzNVBf,https://api.spotify.com/v1/tracks/4NqknSuLbtn77F73YzNVBf,https://api.spotify.com/v1/audio-analysis/4NqknSuLbtn77F73YzNVBf,337372,4
Frost - Grand Piano,Gabríel Ólafs,Laura,0.392,0.00788,2,-35.74,1,0.0536,0.996,0.905,0.0759,0.34,127.878,audio_features,2yin84KZ18N91DMrUj10Rz,spotify:track:2yin84KZ18N91DMrUj10Rz,https://api.spotify.com/v1/tracks/2yin84KZ18N91DMrUj10Rz,https://api.spotify.com/v1/audio-analysis/2yin84KZ18N91DMrUj10Rz,107907,3
Suite compostelana: II. Coral,Federico Mompou,Laura,0.455,0.00162,6,-34.232,0,0.0521,0.989,0.855,0.124,0.157,75.417,audio_features,1FbAQqtKHiQhLbz5Yodjbf,spotify:track:1FbAQqtKHiQhLbz5Yodjbf,https://api.spotify.com/v1/tracks/1FbAQqtKHiQhLbz5Yodjbf,https://api.spotify.com/v1/audio-analysis/1FbAQqtKHiQhLbz5Yodjbf,208667,4
"Piano Concerto in A minor, Op. 16: II. Adagio - Live",Edvard Grieg,Laura,0.106,0.0151,1,-27.98,1,0.0432,0.981,0.875,0.0731,0.0352,75.712,audio_features,48ncsTkxc9KlRZEG0PC2rZ,spotify:track:48ncsTkxc9KlRZEG0PC2rZ,https://api.spotify.com/v1/tracks/48ncsTkxc9KlRZEG0PC2rZ,https://api.spotify.com/v1/audio-analysis/48ncsTkxc9KlRZEG0PC2rZ,398240,3
"Suite bergamasque, L. 75: III. Clair de lune",Claude Debussy,Laura,0.32,0.00501,1,-33.366,1,0.0455,0.993,0.919,0.0618,0.0383,68.947,audio_features,3hCPh4oVVjaM8tv9sFH8cx,spotify:track:3hCPh4oVVjaM8tv9sFH8cx,https://api.spotify.com/v1/tracks/3hCPh4oVVjaM8tv9sFH8cx,https://api.spotify.com/v1/audio-analysis/3hCPh4oVVjaM8tv9sFH8cx,294960,5
Scarborough Fair (Arr. Parkin for Cello and Guitar),Traditional,Laura,0.311,0.0253,2,-30.561,1,0.04,0.976,0.897,0.123,0.251,116.816,audio_features,4wlNPczIullwvmwb4x0ltz,spotify:track:4wlNPczIullwvmwb4x0ltz,https://api.spotify.com/v1/tracks/4wlNPczIullwvmwb4x0ltz,https://api.spotify.com/v1/audio-analysis/4wlNPczIullwvmwb4x0ltz,194533,4
Willow,Marie Denis,Laura,0.434,0.0599,5,-27.627,1,0.0423,0.985,0.839,0.107,0.183,124.658,audio_features,3bMks007brAPs3uP8Vq9tu,spotify:track:3bMks007brAPs3uP8Vq9tu,https://api.spotify.com/v1/tracks/3bMks007brAPs3uP8Vq9tu,https://api.spotify.com/v1/audio-analysis/3bMks007brAPs3uP8Vq9tu,185000,4
"Delius: 2 Pieces for Small Orchestra: No. 1, On Hearing the First Cuckoo in Spring",Frederick Delius,Laura,0.0716,0.0408,7,-28.284,1,0.0399,0.851,0.901,0.0844,0.0377,77.047,audio_features,2dEbRirkEtImY7HdYxrgRS,spotify:track:2dEbRirkEtImY7HdYxrgRS,https://api.spotify.com/v1/tracks/2dEbRirkEtImY7HdYxrgRS,https://api.spotify.com/v1/audio-analysis/2dEbRirkEtImY7HdYxrgRS,349760,4
"Goldberg Variations, BWV 988: Variatio 30 Quodlibet. a 1 Clav.",Johann Sebastian Bach,Laura,0.409,0.0785,7,-23.556,1,0.0422,0.995,0.913,0.0979,0.321,108.873,audio_features,43kn3bSGdQFhjqyl5bF1EY,spotify:track:43kn3bSGdQFhjqyl5bF1EY,https://api.spotify.com/v1/tracks/43kn3bSGdQFhjqyl5bF1EY,https://api.spotify.com/v1/audio-analysis/43kn3bSGdQFhjqyl5bF1EY,152160,4
"Lyric Pieces, Book 5, Op. 54: Nocturne",Edvard Grieg,Laura,0.296,0.0435,0,-29.73,1,0.0411,0.987,0.857,0.0786,0.0302,72.282,audio_features,2GJFu2G9fhaYFrOoX9bejs,spotify:track:2GJFu2G9fhaYFrOoX9bejs,https://api.spotify.com/v1/tracks/2GJFu2G9fhaYFrOoX9bejs,https://api.spotify.com/v1/audio-analysis/2GJFu2G9fhaYFrOoX9bejs,220773,1
"Ma mère l'oye, M. 62: Tableau VI: Le jardin feerique",Maurice Ravel,Laura,0.195,0.00736,0,-28.34,1,0.0355,0.867,0.738,0.0786,0.0382,42.313,audio_features,1PWSxDyn7QKSLxYOfAvp10,spotify:track:1PWSxDyn7QKSLxYOfAvp10,https://api.spotify.com/v1/tracks/1PWSxDyn7QKSLxYOfAvp10,https://api.spotify.com/v1/audio-analysis/1PWSxDyn7QKSLxYOfAvp10,214853,4
Merry Christmas Mr. Lawrence (Arr. Metcalfe),Jess Gillam,Laura,0.339,0.0592,10,-17.647,0,0.0373,0.984,0.863,0.12,0.198,105.908,audio_features,6aHZQ2a2ZgBDLZsx1usftw,spotify:track:6aHZQ2a2ZgBDLZsx1usftw,https://api.spotify.com/v1/tracks/6aHZQ2a2ZgBDLZsx1usftw,https://api.spotify.com/v1/audio-analysis/6aHZQ2a2ZgBDLZsx1usftw,277148,4
DANCE: I. when you're broken open,Anna Clyne,Laura,0.163,0.0994,5,-24.845,1,0.0443,0.785,0.903,0.101,0.0359,68.778,audio_features,3Y0EbmwdJNP7dgVqSD8vRW,spotify:track:3Y0EbmwdJNP7dgVqSD8vRW,https://api.spotify.com/v1/tracks/3Y0EbmwdJNP7dgVqSD8vRW,https://api.spotify.com/v1/audio-analysis/3Y0EbmwdJNP7dgVqSD8vRW,284853,4
In a Landscape,John Cage,Laura,0.202,0.0048,10,-37.422,1,0.0397,0.994,0.938,0.0772,0.195,68.527,audio_features,1qbrS9PKOzsack0g7LiBhh,spotify:track:1qbrS9PKOzsack0g7LiBhh,https://api.spotify.com/v1/tracks/1qbrS9PKOzsack0g7LiBhh,https://api.spotify.com/v1/audio-analysis/1qbrS9PKOzsack0g7LiBhh,531827,4
"Gabriel's Oboe (From ""The Mission"")",Ennio Morricone,Laura,0.088,0.184,2,-16.074,1,0.0389,0.925,0.802,0.0927,0.0644,84.627,audio_features,0kRB0hhG9KYXiokmqZehwn,spotify:track:0kRB0hhG9KYXiokmqZehwn,https://api.spotify.com/v1/tracks/0kRB0hhG9KYXiokmqZehwn,https://api.spotify.com/v1/audio-analysis/0kRB0hhG9KYXiokmqZehwn,222400,5
Wishing,Alexis Ffrench,Laura,0.509,0.126,3,-22.956,1,0.0359,0.995,0.942,0.121,0.34,72.702,audio_features,2DCB7vBKleDUerpJErGyr2,spotify:track:2DCB7vBKleDUerpJErGyr2,https://api.spotify.com/v1/tracks/2DCB7vBKleDUerpJErGyr2,https://api.spotify.com/v1/audio-analysis/2DCB7vBKleDUerpJErGyr2,128915,3
"Orchestral Suite No. 3 in D Major, BWV 1068: II. Air ""On a G String"" (Arr. for Piano)",Johann Sebastian Bach,Laura,0.458,0.0108,2,-29.707,1,0.0535,0.996,0.938,0.0724,0.135,115.141,audio_features,4WH081NcZkk93PVK2S3q5N,spotify:track:4WH081NcZkk93PVK2S3q5N,https://api.spotify.com/v1/tracks/4WH081NcZkk93PVK2S3q5N,https://api.spotify.com/v1/audio-analysis/4WH081NcZkk93PVK2S3q5N,328800,4
Mid Air,GÅEL,Laura,0.524,0.0338,0,-28.584,1,0.058,0.995,0.921,0.0907,0.25,111.895,audio_features,5O3UGMP9XJLbshKKZHsrGN,spotify:track:5O3UGMP9XJLbshKKZHsrGN,https://api.spotify.com/v1/tracks/5O3UGMP9XJLbshKKZHsrGN,https://api.spotify.com/v1/audio-analysis/5O3UGMP9XJLbshKKZHsrGN,147937,4
Siete canciones populares españolas: No. 5 Nana,Manuel de Falla,Laura,0.205,0.00409,9,-29.98,1,0.043,0.993,0.881,0.0654,0.218,69.195,audio_features,61GAxGT5YJyTPvYxtMN5Q7,spotify:track:61GAxGT5YJyTPvYxtMN5Q7,https://api.spotify.com/v1/tracks/61GAxGT5YJyTPvYxtMN5Q7,https://api.spotify.com/v1/audio-analysis/61GAxGT5YJyTPvYxtMN5Q7,157133,4
On the Nature of Daylight (Arr. Mackay),Jess Gillam,Laura,0.157,0.0633,10,-21.545,0,0.0433,0.922,0.962,0.0889,0.0373,135.223,audio_features,19ybiQdyHMa0bLnAQp0cqP,spotify:track:19ybiQdyHMa0bLnAQp0cqP,https://api.spotify.com/v1/tracks/19ybiQdyHMa0bLnAQp0cqP,https://api.spotify.com/v1/audio-analysis/19ybiQdyHMa0bLnAQp0cqP,381107,3
"Limu, limu, lima (Arr. Schindler for Piano)",Traditional,Laura,0.253,0.0313,4,-26.923,0,0.0522,0.993,0.927,0.114,0.0657,77.729,audio_features,1ZpnptUG5sISwRx6fJQrXN,spotify:track:1ZpnptUG5sISwRx6fJQrXN,https://api.spotify.com/v1/tracks/1ZpnptUG5sISwRx6fJQrXN,https://api.spotify.com/v1/audio-analysis/1ZpnptUG5sISwRx6fJQrXN,335360,5
"Pièces Lyriques, Op. 47 No. 3: Mélodie",Edvard Grieg,Laura,0.407,0.00453,5,-30.925,1,0.041,0.995,0.935,0.0798,0.0342,104.957,audio_features,6G6tIDO3rB8FktjkM70GGd,spotify:track:6G6tIDO3rB8FktjkM70GGd,https://api.spotify.com/v1/tracks/6G6tIDO3rB8FktjkM70GGd,https://api.spotify.com/v1/audio-analysis/6G6tIDO3rB8FktjkM70GGd,256360,4
"Après un rêve, Op. 7, No. 1",Gabriel Fauré,Laura,0.187,0.0306,5,-27.399,0,0.0404,0.991,0.968,0.0979,0.036,96.639,audio_features,05yzhEWkmVXiigqWfcNTQS,spotify:track:05yzhEWkmVXiigqWfcNTQS,https://api.spotify.com/v1/tracks/05yzhEWkmVXiigqWfcNTQS,https://api.spotify.com/v1/audio-analysis/05yzhEWkmVXiigqWfcNTQS,160227,4
